poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,post_office,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
1,fountain,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
2,shelter,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
3,bar,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
4,industrial,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
5,fuel,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
6,office,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
7,ramada,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
8,cinema,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
9,library,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
10,townhall,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
11,dormitory,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
12,restaurant,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
13,school,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
14,roof,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
15,toilets,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
16,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
17,university,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
18,police,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
19,parking,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
20,retail,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
21,residential,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
22,college,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
23,bus_station,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
24,yes,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
25,fire_station,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
26,fast_food,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
27,community_centre,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
28,theatre,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
29,apartments,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
30,place_of_worship,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
31,commercial,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
32,pharmacy,"1,000 Sq. Ft. GFA",1,0.0,0.0,1,1
