activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,total_production,total_attraction
5,B1,-109.5697333,37.28381785,"POLYGON ((-109.5823271 37.28350999999999,-109.5823271 37.289449999999995,-109.5696571 37.289449999999995,-109.5696571 37.28350999999999,-109.5823271 37.28350999999999))",POINT (-109.5697333 37.28381785),2,0,0,0,0,0,0,2.32608103744,2.32608103744
6,B2,-109.56007902499998,37.285219825,"POLYGON ((-109.5696571 37.28350999999999,-109.5696571 37.289449999999995,-109.5569871 37.289449999999995,-109.5569871 37.28350999999999,-109.5696571 37.28350999999999))",POINT (-109.56007902499998 37.285219825),26,9,0,0,0,0,0,168.83457845772799,175.03855196715523
7,B3,-109.55236168571429,37.284809092857145,"POLYGON ((-109.5569871 37.28350999999999,-109.5569871 37.289449999999995,-109.5443171 37.289449999999995,-109.5443171 37.28350999999999,-109.5569871 37.28350999999999))",POINT (-109.55236168571429 37.284809092857145),34,1,0,0,1,1,0,191.54878229939845,164.71806722128647
8,B4,-109.5412776,37.28587685,"POLYGON ((-109.5443171 37.28350999999999,-109.5443171 37.289449999999995,-109.5316471 37.289449999999995,-109.5316471 37.28350999999999,-109.5443171 37.28350999999999))",POINT (-109.5412776 37.28587685),2,0,0,0,0,0,0,7.90716857984,7.90716857984
9,C1,-109.5724946714286,37.28117054285714,"POLYGON ((-109.5823271 37.27756999999999,-109.5823271 37.28350999999999,-109.5696571 37.28350999999999,-109.5696571 37.27756999999999,-109.5823271 37.27756999999999))",POINT (-109.5724946714286 37.28117054285714),5,0,0,0,0,0,0,117.75183671059202,125.06752841395202
10,C2,-109.56468028095242,37.28152444285714,"POLYGON ((-109.5696571 37.27756999999999,-109.5696571 37.28350999999999,-109.5569871 37.28350999999999,-109.5569871 37.27756999999999,-109.5696571 37.27756999999999))",POINT (-109.56468028095242 37.28152444285714),24,1,0,0,0,0,0,232.18074664160002,237.388649410432
11,C3,-109.55379597647058,37.28310481176471,"POLYGON ((-109.5569871 37.27756999999999,-109.5569871 37.28350999999999,-109.5443171 37.28350999999999,-109.5443171 37.27756999999999,-109.5569871 37.27756999999999))",POINT (-109.55379597647058 37.28310481176471),17,1,0,0,0,0,0,20.733659490688,21.1150033083392
12,C4,-109.5405438,37.2834472,"POLYGON ((-109.5443171 37.27756999999999,-109.5443171 37.28350999999999,-109.5316471 37.28350999999999,-109.5316471 37.27756999999999,-109.5443171 37.27756999999999))",POINT (-109.5405438 37.2834472),1,0,0,0,0,0,0,10.292451124480001,10.292451124480001
13,Gate1,-109.58866210000001,37.28054,,POINT (-109.58866210000001 37.28054),0,0,0,0,0,0,1,0.0,0.0
14,Gate2,-109.58866210000001,37.28648,,POINT (-109.58866210000001 37.28648),0,0,0,0,0,0,0,0.0,0.0
15,Gate3,-109.58866210000001,37.29241999999999,,POINT (-109.58866210000001 37.29241999999999),0,0,0,0,0,0,0,0.0,0.0
16,Gate4,-109.57599210000001,37.2983644,,POINT (-109.57599210000001 37.2983644),0,0,0,0,0,0,0,0.0,0.0
17,Gate5,-109.5633221,37.2983644,,POINT (-109.5633221 37.2983644),0,0,0,0,0,0,4,0.0,0.0
18,Gate6,-109.55065210000001,37.2983644,,POINT (-109.55065210000001 37.2983644),0,0,0,0,0,0,7,0.0,0.0
19,Gate7,-109.5379821,37.2983644,,POINT (-109.5379821 37.2983644),0,0,0,0,0,0,1,5.0,5.0
20,Gate8,-109.52531499999999,37.2924244,,POINT (-109.52531499999999 37.2924244),0,0,0,0,0,0,0,0.0,0.0
21,Gate9,-109.52531499999999,37.28648439999999,,POINT (-109.52531499999999 37.28648439999999),0,0,0,0,0,0,5,5.0,5.0
22,Gate10,-109.52531499999999,37.2805444,,POINT (-109.52531499999999 37.2805444),0,0,0,0,0,0,1,0.0,0.0
23,Gate11,-109.53798499999999,37.2746,,POINT (-109.53798499999999 37.2746),0,0,0,0,0,0,0,0.0,0.0
24,Gate12,-109.550655,37.2746,,POINT (-109.550655 37.2746),0,0,0,0,0,0,3,0.0,0.0
25,Gate13,-109.56332499999999,37.2746,,POINT (-109.56332499999999 37.2746),0,0,0,0,0,0,2,0.0,0.0
26,Gate14,-109.575995,37.2746,,POINT (-109.575995 37.2746),0,0,0,0,0,0,5,0.0,0.0
